SiteName,Easting,Northing
0,,
I37/0013,1397330.0,5126170.0
I38/0003,1395812.0,5095984.0
I38/0004,1393155.0,5089880.0
I38/0011,1386263.0,5090678.0
I38/0014,1385317.0,5103764.0
I38/0015,1384329.0,5104513.0
I38/0036,1386297.0,5116721.0
I38/0042,1389504.0,5117956.0
I38/0052,1403304.0,5110512.0
I38/0053,1391095.0,5088509.0
I38/0054,1385897.0,5104831.0
I38/0084,1390442.0,5107699.0
I38/0085,1396545.0,5107471.0
I38/0092,1384785.0,5091787.0
I38/0103,1379711.0,5094503.0
I39/0002,1416828.0,5067950.0
I39/0004,1381704.0,5086005.0
I39/0007,1381604.0,5085171.0
I39/0024,1415258.0,5068768.0
I40/0004,1407166.0,5049442.0
I40/0020,1416498.0,5031209.0
I40/0033,1403127.0,5048411.0
I40/0056,1404897.0,5035049.0
I40/0059,1401009.0,5041311.0
I40/0086,1419863.0,5029501.0
I40/0093,1413622.0,5031698.0
I40/0099,1419484.0,5029468.0
I40/0145,1412319.0,5035253.0
I40/0155,1405582.0,5031077.0
I40/0503,1410486.0,5036620.0
I40/0518,1405662.0,5039505.0
I40/0528,1404705.0,5048665.0
I40/0541,1401399.0,5034095.0
I40/0543,1407816.0,5033791.0
I40/0559,1401794.0,5040316.0
I40/0585,1418134.0,5029987.0
I40/0646,1406879.0,5034144.0
I40/0662,1415204.0,5033997.0
I40/0664,1405983.0,5039458.0
I40/0666,1402803.0,5037774.0
I40/0670,1406659.0,5035034.0
I40/0674,1400151.0,5042288.0
I40/0675,1403008.0,5038673.0
I40/0710,1409084.0,5034018.0
I40/0712,1401570.0,5043943.0
I40/0714,1410058.0,5037122.0
I40/0732,1400495.0,5042914.0
I40/0779,1409309.0,5052323.0
I40/0780,1410245.0,5053879.0
I40/0781,1403065.0,5048854.0
I40/0782,1399372.0,5042855.0
I41/0030,1410976.0,5023808.0
I41/0063,1416462.0,5024042.0
J37/0010,1458927.0,5137283.0
J37/0012,1459329.0,5128412.0
J37/0013,1423093.0,5121684.0
J37/0015,1420508.0,5121872.0
J37/0017,1424146.0,5124666.0
J37/0023,1423381.0,5121304.0
J37/0026,1427058.0,5125649.0
J37/0027,1459453.0,5136984.0
J37/0028,1423920.0,5120258.0
J37/0031,1425948.0,5121623.0
J37/0033,1424588.0,5121222.0
J37/0038,1455300.0,5120803.0
J37/0041,1457018.0,5127725.0
J37/0042,1456454.0,5122888.0
J37/0044,1421038.0,5123936.0
J37/0045,1456148.0,5122812.0
J37/0050,1455340.0,5124907.0
J37/0053,1457509.0,5125295.0
J37/0055,1459071.0,5120189.0
J37/0068,1427017.0,5127144.0
J37/0073,1426119.0,5130605.0
J37/0076,1430337.0,5131587.0
J37/0077,1430165.0,5130458.0
J37/0087,1424127.0,5120960.0
J37/0089,1424928.0,5126168.0
J37/0090,1424780.0,5126964.0
J37/0092,1455177.0,5120620.0
J37/0108,1457278.0,5120901.0
J37/0127,1426749.0,5125074.0
J37/0164,1423587.0,5122596.0
J37/0185,1455382.0,5121799.0
J37/0189,1458035.0,5121458.0
J37/0197,1457082.0,5123714.0
J37/0201,1450858.0,5121686.0
J37/0202,1458381.0,5120346.0
J37/0213,1424740.0,5118393.0
J37/0216,1457008.0,5123527.0
J37/0218,1426112.0,5128381.0
J37/0225,1459002.0,5128662.0
J37/0273,1459170.0,5135075.0
J37/0297,1455585.0,5121388.0
J37/0325,1454091.0,5119320.0
J38/0004,1457420.0,5114105.0
J38/0012,1458497.0,5089361.0
J38/0019,1459956.0,5092188.0
J38/0020,1444245.0,5100682.0
J38/0023,1452885.0,5097495.0
J38/0025,1445615.0,5100553.0
J38/0028,1451814.0,5097361.0
J38/0029,1448481.0,5097850.0
J38/0030,1446445.0,5100283.0
J38/0032,1449575.0,5099812.0
J38/0037,1451367.0,5099563.0
J38/0040,1454884.0,5094338.0
J38/0045,1455871.0,5092875.0
J38/0053,1446421.0,5102793.0
J38/0055,1453129.0,5096472.0
J38/0068,1457094.0,5092844.0
J38/0084,1459647.0,5092789.0
J38/0085,1459746.0,5092889.0
J38/0088,1459445.0,5096188.0
J38/0098,1452641.0,5097116.0
J38/0107,1457447.0,5092188.0
J38/0122,1452347.0,5096775.0
J38/0125,1457181.0,5092721.0
J38/0130,1457646.0,5095288.0
J38/0139,1459973.0,5090318.0
J38/0146,1447544.0,5101583.0
J38/0147,1459648.0,5088641.0
J38/0149,1445644.0,5100643.0
J38/0150,1444074.0,5101162.0
J38/0151,1446368.0,5100029.0
J38/0156,1444304.0,5100782.0
J38/0159,1448203.0,5100853.0
J38/0169,1455309.0,5094831.0
J38/0170,1458747.0,5092188.0
J38/0171,1459844.0,5090492.0
J38/0179,1457579.0,5092622.0
J38/0181,1450780.0,5100973.0
J38/0182,1457546.0,5094788.0
J38/0187,1426542.0,5116389.0
J38/0188,1456046.0,5096187.0
J38/0192,1451794.0,5098808.0
J38/0194,1448816.0,5097363.0
J38/0197,1444905.0,5100262.0
J38/0200,1450459.0,5098553.0
J38/0214,1454177.0,5113487.0
J38/0217,1456447.0,5092587.0
J38/0237,1446316.0,5095858.0
J38/0242,1452591.0,5097159.0
J38/0251,1450960.0,5098469.0
J38/0255,1459846.0,5090506.0
J38/0259,1455147.0,5094790.0
J38/0280,1426857.0,5113931.0
J38/0283,1458206.0,5105996.0
J38/0289,1455603.0,5113533.0
J38/0299,1428759.0,5113248.0
J38/0349,1448715.0,5097480.0
J38/0360,1447636.0,5103249.0
J38/0362,1440535.0,5106422.0
J38/0374,1455461.0,5098077.0
J38/0384,1447668.0,5101393.0
J38/0386,1447089.0,5101925.0
J38/0439,1442454.0,5101191.0
J38/0440,1457325.0,5110279.0
J38/0465,1428537.0,5106905.0
J38/0482,1427799.0,5114116.0
J38/0491,1429128.0,5098233.0
J38/0510,1449731.0,5097410.0
J38/0514,1448558.0,5098045.0
J38/0516,1444931.0,5095804.0
J38/0584,1449635.0,5099014.0
J38/0585,1448775.0,5098534.0
J38/0615,1457738.0,5114369.0
J38/0619,1423542.0,5115316.0
J38/0623,1427240.0,5114416.0
J38/0624,1427800.0,5114236.0
J38/0625,1427930.0,5114096.0
J38/0634,1457584.0,5094847.0
J38/0638,1422940.0,5118041.0
J38/0646,1447177.0,5098833.0
J38/0649,1456245.0,5090105.0
J38/0665,1427720.0,5114056.0
J38/0675,1451890.0,5097237.0
J38/0684,1440831.0,5093393.0
J38/0695,1448884.0,5097542.0
J38/0752,1439901.0,5092808.0
J38/0821,1453443.0,5092999.0
J38/0861,1440533.0,5102006.0
J38/0875,1444280.0,5105143.0
J38/0889,1459822.0,5093954.0
J38/0893,1457375.0,5098375.0
J38/0917,1450980.0,5098437.0
J38/0928,1449707.0,5098474.0
J38/0933,1455690.0,5114614.0
J38/0939,1453530.0,5110426.0
J38/0941,1443253.0,5104601.0
J38/0946,1454907.0,5117573.0
J38/0963,1454528.0,5115540.0
J39/0009,1458276.0,5072000.0
J39/0010,1458176.0,5071920.0
J39/0012,1459117.0,5080347.0
J39/0020,1451896.0,5063620.0
J39/0021,1445458.0,5069384.0
J39/0024,1451252.0,5061628.0
J39/0034,1459748.0,5088089.0
J39/0036,1457776.0,5072700.0
J39/0039,1457486.0,5072660.0
J39/0042,1457536.0,5072410.0
J39/0043,1457266.0,5072520.0
J39/0063,1451515.0,5074597.0
J39/0068,1455837.0,5071069.0
J39/0071,1457086.0,5072020.0
J39/0079,1457408.0,5080205.0
J39/0080,1451654.0,5076986.0
J39/0081,1455559.0,5066279.0
J39/0082,1459936.0,5079478.0
J39/0083,1453364.0,5077797.0
J39/0084,1450335.0,5075236.0
J39/0087,1454179.0,5087357.0
J39/0089,1458032.0,5080549.0
J39/0090,1456854.0,5070953.0
J39/0091,1454534.0,5067217.0
J39/0093,1456927.0,5072603.0
J39/0095,1456357.0,5071464.0
J39/0096,1459999.0,5085989.0
J39/0097,1454264.0,5072383.0
J39/0098,1455429.0,5071246.0
J39/0102,1456886.0,5072049.0
J39/0103,1456886.0,5071969.0
J39/0104,1456726.0,5071889.0
J39/0105,1456747.0,5072110.0
J39/0106,1457284.0,5071542.0
J39/0107,1456996.0,5071800.0
J39/0109,1449753.0,5075858.0
J39/0110,1440525.0,5070261.0
J39/0111,1441264.0,5070755.0
J39/0115,1446369.0,5067434.0
J39/0121,1455930.0,5070525.0
J39/0123,1448021.0,5063846.0
J39/0129,1448024.0,5058976.0
J39/0133,1442786.0,5062041.0
J39/0134,1457046.0,5072839.0
J39/0135,1457060.0,5072829.0
J39/0136,1443193.0,5070570.0
J39/0137,1456415.0,5085049.0
J39/0139,1445469.0,5069361.0
J39/0141,1452974.0,5058989.0
J39/0144,1450522.0,5074989.0
J39/0145,1452539.0,5067987.0
J39/0146,1453440.0,5074564.0
J39/0150,1455348.0,5066116.0
J39/0151,1455642.0,5070931.0
J39/0152,1456447.0,5071179.0
J39/0154,1456467.0,5071348.0
J39/0155,1456197.0,5071089.0
J39/0158,1455957.0,5070629.0
J39/0161,1454696.0,5072108.0
J39/0163,1453240.0,5073202.0
J39/0166,1448754.0,5077935.0
J39/0168,1445175.0,5076803.0
J39/0169,1451672.0,5067844.0
J39/0170,1447353.0,5068431.0
J39/0171,1455780.0,5067721.0
J39/0176,1456976.0,5070406.0
J39/0177,1456298.0,5068070.0
J39/0178,1456498.0,5068500.0
J39/0181,1452281.0,5075500.0
J39/0184,1452143.0,5075556.0
J39/0186,1456837.0,5069650.0
J39/0189,1451997.0,5071897.0
J39/0193,1453002.0,5084474.0
J39/0208,1456439.0,5072528.0
J39/0209,1457136.0,5072630.0
J39/0210,1457506.0,5072240.0
J39/0211,1457934.0,5072388.0
J39/0215,1457466.0,5072270.0
J39/0216,1457156.0,5072520.0
J39/0227,1453466.0,5072488.0
J39/0232,1456825.0,5069683.0
J39/0258,1453361.0,5072654.0
J39/0259,1459386.0,5080404.0
J39/0260,1458572.0,5080159.0
J39/0261,1458495.0,5080102.0
J39/0262,1458381.0,5081609.0
J39/0289,1447539.0,5067735.0
J39/0294,1451129.0,5076735.0
J39/0295,1456944.0,5075949.0
J39/0297,1459104.0,5075290.0
J39/0298,1457554.0,5075619.0
J39/0299,1458572.0,5080519.0
J39/0300,1459422.0,5080610.0
J39/0301,1458542.0,5080069.0
J39/0304,1457912.0,5080959.0
J39/0344,1445142.0,5062270.0
J39/0378,1450190.0,5067377.0
J39/0388,1457389.0,5075683.0
J39/0396,1455521.0,5066408.0
J39/0398,1455834.0,5078297.0
J39/0412,1450657.0,5074765.0
J39/0441,1452086.0,5073187.0
J39/0442,1451701.0,5072679.0
J39/0481,1444125.0,5080205.0
J39/0485,1449845.0,5076575.0
J39/0489,1453895.0,5072314.0
J39/0490,1438823.0,5085421.0
J39/0491,1449121.0,5062793.0
J39/0494,1454756.0,5081183.0
J39/0511,1452694.0,5072389.0
J39/0514,1449604.0,5060912.0
J39/0516,1455725.0,5071590.0
J39/0523,1454408.0,5085605.0
J39/0524,1451198.0,5061705.0
J39/0531,1448924.0,5059992.0
J39/0532,1456247.0,5067982.0
